Orden;Artículo;Descripción:;Descripción:;Dpto;Instalación;Oper;CBT;Última actividad;Fecha de creación
M008470;SE5162280;HARRIS MR 1000;Bob Term 48 Gr 79 X 60;FORM;FC006;10;P;26/02/2024;18/10/2006
M008710;62422;DIDDE GLASER II;Hj 8 1/2x11  Factura 2022;FORM;FC013;10;P;26/02/2024;14/12/2012
M008710;62422;PREPRENSA LITO;Hj 8 1/2x11  Factura 2022;PREP;PP001;20;C;26/02/2024;13/02/2007
M009310;57611;HARRIS 1200 - II;Fc Bca 9 1/2 X 5 1/2 1p 60 Gr;FORM;FC002;10;P;26/02/2024;18/10/2006
M009700;59572;ROBOSUM II;Ro 80 X 60 T/mico 48 Gr S/bpa;ROLL;RO406;10;P;26/02/2024;2/01/2015
M009810;59572;ROBOSUM II;Ro 80 X 60 T/mico 48 Gr S/bpa;ROLL;RO406;10;P;26/02/2024;2/01/2015
M009860;59710;OLIMPIC II;Ro 76 X 30 Amarillo 54,5 Gr;ROLL;RO401;10;P;26/02/2024;18/10/2006
M009880;57143;W + D 627;Sc 23,4 X 12 Oficio Ancho 75gr;SDC;SC202;10;P;26/02/2024;13/03/2008
M009900;57102;W + D 627;Sc 16x9 Rectangular Blanco 60;SDC;SC202;10;P;26/02/2024;13/03/2008
M010220;SE500005;HARRIS 1200 - II;Bob Formas 60 Gr De 9 1/2 Bca;FORM;FC002;10;P;26/02/2024;18/10/2006
M010330;63270;OLIMPIC I;Rollo 80 X 60 Termico Impreso;ROLL;RO400;10;P;26/02/2024;18/10/2006
M010330;63270;PREPRENSA FLEXO;Rollo 80 X 60 Termico Impreso;PREP;PP002;20;C;26/02/2024;14/12/2012
M010340;60535;OLIMPIC I;Rollo 102x25 Topcoat Serv Mont;ROLL;RO400;10;P;26/02/2024;18/10/2006
M010370;63265;COLECTORA 550 I;Fs 8 1/2 X 5 1/2 Comp. Prestac;FORM;FC150;10;P;26/02/2024;18/10/2006
M010370;63265;PREPRENSA LITO;Fs 8 1/2 X 5 1/2 Comp. Prestac;PREP;PP001;30;C;26/02/2024;13/02/2007
M010610;63274;DIDDE GLASER II;Hj 8 1/2 X 11 Pereira Mar/24;FORM;FC013;10;P;26/02/2024;14/12/2012
M010610;63274;PREPRENSA LITO;Hj 8 1/2 X 11 Pereira Mar/24;PREP;PP001;20;C;26/02/2024;13/02/2007
M012760;60166;DIDDE GLASER II;Hj 8 1/2 X 11 F-emo-23-consent;FORM;FC013;10;P;26/02/2024;14/12/2012
M012760;60166;PREPRENSA LITO;Hj 8 1/2 X 11 F-emo-23-consent;PREP;PP001;20;C;26/02/2024;13/02/2007
M013130;63283;DIDDE GLASER II;Hoja 8 1/2 X 11 Fact Mar 2024;FORM;FC013;10;P;26/02/2024;14/12/2012
M013130;63283;PREPRENSA LITO;Hoja 8 1/2 X 11 Fact Mar 2024;PREP;PP001;20;C;26/02/2024;13/02/2007
M013140;63276;DIDDE GLASER II;Hj 8 1/2x11 Factura Año 2024;FORM;FC013;10;P;26/02/2024;14/12/2012
M013140;63276;PREPRENSA LITO;Hj 8 1/2x11 Factura Año 2024;PREP;PP001;20;C;26/02/2024;13/02/2007
M013170;62476;DIDDE GLASER II;For Perf, Trans Y Long;FORM;FC013;10;P;26/02/2024;14/12/2012
M013220;73605;OLIMPIC I;Rollo 102x25 Topcoat Bco Epsas;ROLL;RO400;10;P;26/02/2024;18/10/2006
M997620;57262;MO - MP;Sot Carta Ecol 60 Gr;SOT;ST304;10;P;26/02/2024;18/10/2006
M997640;57264;MO - MP II;Sot Oficio Ecol 60 Gr;SOT;ST308;10;P;26/02/2024;25/09/2014
M001470;10310;CONVERTIDORA IV;Bond Blanco A.b. 75gr 60 X 90;CONV;CN603;10;P;27/02/2024;17/01/2007
M001470;10310;GUILLOTINA DE CONVERSION;Bond Blanco A.b. 75gr 60 X 90;CONV;GL652;20;P;27/02/2024;28/06/2007
M001470;10310;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 60 X 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M003510;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M003510;60;GUILLOTINA III VALORES;Bond 90 Gr 70 X 100;LIBR;GL651;20;P;27/02/2024;17/01/2007
M003510;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M006410;SE000036;CONVERTIDORA IV;Ecol 60 Gr 90 X 111,8 Cm;CONV;CN603;10;4;27/02/2024;17/01/2007
M006410;SE000036;MESA DE TERMINADOS CONV;Ecol 60 Gr 90 X 111,8 Cm;CONV;MT002;20;4;27/02/2024;19/01/2013
M006950;SE7163230;IMPRESORA FLEXO BANDA ANCHA;Bob Earth T 110 Gr 30*17,5 *43;IFLE;IFX01;10;P;27/02/2024;14/12/2023
M006960;63230;ARMADORA DE BOLSAS;Bolsa 30x17,5x43 1/6 Earth Caj;BOLS;BLS01;10;P;27/02/2024;12/10/2021
M006960;63230;PREPRENSA FLEXO;Bolsa 30x17,5x43 1/6 Earth Caj;PREP;PP002;20;C;27/02/2024;14/12/2012
M007450;570;CONVERTIDORA IV;P/cote C2s 115 Gr 70x100;CONV;CN603;10;P;27/02/2024;17/01/2007
M007450;570;GUILLOTINA DE CONVERSION;P/cote C2s 115 Gr 70x100;CONV;GL652;20;P;27/02/2024;28/06/2007
M007450;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M007480;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M007480;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M007480;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M007560;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M007560;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M007560;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M007710;12753;CONVERTIDORA V;P/cote C2s 150 Gr 60 X90;CONV;CN605;10;P;27/02/2024;8/05/2019
M007710;12753;CALIBRACION PAPEL;P/cote C2s 150 Gr 60 X90;CONV;CL001;20;P;27/02/2024;13/02/2007
M007710;12753;MESA DE TERMINADOS CONV;P/cote C2s 150 Gr 60 X90;CONV;MT002;30;P;27/02/2024;19/01/2013
M007730;394;CONVERTIDORA V;Bristol Bco 150 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M007730;394;CALIBRACION PAPEL;Bristol Bco 150 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M007730;394;MESA DE TERMINADOS CONV;Bristol Bco 150 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M007950;63240;W + D 627;Sc 23,4x12  Sobre Procesos 24;SDC;SC202;10;P;27/02/2024;13/03/2008
M007950;63240;PREPRENSA LITO;Sc 23,4x12  Sobre Procesos 24;PREP;PP001;20;C;27/02/2024;13/02/2007
M007960;SE363240;PHP III - 1;Troq Earth 70 Gr 23,4 X 12 Cm;SOT;ST300;10;4;27/02/2024;18/10/2006
M007990;570;CONVERTIDORA V;P/cote C2s 115 Gr 70x100;CONV;CN605;10;P;27/02/2024;8/05/2019
M007990;570;CALIBRACION PAPEL;P/cote C2s 115 Gr 70x100;CONV;CL001;20;P;27/02/2024;13/02/2007
M007990;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008000;570;CONVERTIDORA V;P/cote C2s 115 Gr 70x100;CONV;CN605;10;P;27/02/2024;8/05/2019
M008000;570;CALIBRACION PAPEL;P/cote C2s 115 Gr 70x100;CONV;CL001;20;P;27/02/2024;13/02/2007
M008000;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008110;601;CONVERTIDORA V;P/cote C2s 300 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M008110;601;CALIBRACION PAPEL;P/cote C2s 300 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M008110;601;MESA DE TERMINADOS CONV;P/cote C2s 300 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008120;6124;CONVERTIDORA V;Earth Pack  Naturalofset 90;CONV;CN605;10;P;27/02/2024;8/05/2019
M008120;6124;CALIBRACION PAPEL;Earth Pack  Naturalofset 90;CONV;CL001;20;P;27/02/2024;13/02/2007
M008120;6124;MESA DE TERMINADOS CONV;Earth Pack  Naturalofset 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M008130;12963;CONVERTIDORA V;Propalcot C2s 240 Gr 60 X90 Cm;CONV;CN605;10;P;27/02/2024;8/05/2019
M008130;12963;CALIBRACION PAPEL;Propalcot C2s 240 Gr 60 X90 Cm;CONV;CL001;20;P;27/02/2024;13/02/2007
M008130;12963;MESA DE TERMINADOS CONV;Propalcot C2s 240 Gr 60 X90 Cm;CONV;MT002;30;P;27/02/2024;19/01/2013
M008370;570;CONVERTIDORA IV;P/cote C2s 115 Gr 70x100;CONV;CN603;10;P;27/02/2024;17/01/2007
M008370;570;GUILLOTINA DE CONVERSION;P/cote C2s 115 Gr 70x100;CONV;GL652;20;P;27/02/2024;28/06/2007
M008370;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008380;570;CONVERTIDORA IV;P/cote C2s 115 Gr 70x100;CONV;CN603;10;P;27/02/2024;17/01/2007
M008380;570;GUILLOTINA DE CONVERSION;P/cote C2s 115 Gr 70x100;CONV;GL652;20;P;27/02/2024;28/06/2007
M008380;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008390;570;CONVERTIDORA IV;P/cote C2s 115 Gr 70x100;CONV;CN603;10;P;27/02/2024;17/01/2007
M008390;570;GUILLOTINA DE CONVERSION;P/cote C2s 115 Gr 70x100;CONV;GL652;20;P;27/02/2024;28/06/2007
M008390;570;MESA DE TERMINADOS CONV;P/cote C2s 115 Gr 70x100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008400;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M008400;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M008400;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008410;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M008410;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M008410;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008420;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M008420;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M008420;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M008430;12873;CONVERTIDORA V;Propalcote C2s 200 Gr 60 X 90;CONV;CN605;10;P;27/02/2024;8/05/2019
M008430;12873;GUILLOTINA DE CONVERSION;Propalcote C2s 200 Gr 60 X 90;CONV;GL652;20;P;27/02/2024;28/06/2007
M008430;12873;MESA DE TERMINADOS CONV;Propalcote C2s 200 Gr 60 X 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M008680;63030;ARMADORA  DE VASOS 2;Vaso 4 Oz Caliente Los Olivos;VASO;VAS03;10;P;27/02/2024;3/01/2023
M008680;63030;PREPRENSA FLEXO;Vaso 4 Oz Caliente Los Olivos;PREP;PP002;20;C;27/02/2024;14/12/2012
M008690;SE8163030;IMPRESORA FLEXO BANDA ANCHA;Bob Cartulina 225 Grs Los Oliv;IFLE;IFX01;10;4;27/02/2024;14/12/2023
M008700;SE8263030;TROQUELADORA DE VASOS;Troq Bob Cartulina 225 Gr 4 Oz;VASO;VAS01;10;4;27/02/2024;3/01/2023
M009040;637;CONVERTIDORA IV;Propalcote C2s Mate;CONV;CN603;10;P;27/02/2024;17/01/2007
M009040;637;GUILLOTINA DE CONVERSION;Propalcote C2s Mate;CONV;GL652;20;P;27/02/2024;28/06/2007
M009040;637;MESA DE TERMINADOS CONV;Propalcote C2s Mate;CONV;MT002;30;P;27/02/2024;19/01/2013
M009050;556;CONVERTIDORA V;P/cote C1s Sbs 320 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M009050;556;CALIBRACION PAPEL;P/cote C1s Sbs 320 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M009050;556;MESA DE TERMINADOS CONV;P/cote C1s Sbs 320 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M009060;12980;CONVERTIDORA V;P/cote C2s 300 Gr 60 X90;CONV;CN605;10;P;27/02/2024;8/05/2019
M009060;12980;CALIBRACION PAPEL;P/cote C2s 300 Gr 60 X90;CONV;CL001;20;P;27/02/2024;13/02/2007
M009060;12980;MESA DE TERMINADOS CONV;P/cote C2s 300 Gr 60 X90;CONV;MT002;30;P;27/02/2024;19/01/2013
M009070;12753;CONVERTIDORA V;P/cote C2s 150 Gr 60 X90;CONV;CN605;10;P;27/02/2024;8/05/2019
M009070;12753;CALIBRACION PAPEL;P/cote C2s 150 Gr 60 X90;CONV;CL001;20;P;27/02/2024;13/02/2007
M009070;12753;MESA DE TERMINADOS CONV;P/cote C2s 150 Gr 60 X90;CONV;MT002;30;P;27/02/2024;19/01/2013
M009080;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M009080;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M009080;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M009090;590;CONVERTIDORA V;P/cote C2s 200 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M009090;590;CALIBRACION PAPEL;P/cote C2s 200 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M009090;590;MESA DE TERMINADOS CONV;P/cote C2s 200 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M009100;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M009100;40;CALIBRACION PAPEL;Bond Blanco A.b. 75gr 70 X 100;CONV;CL001;20;P;27/02/2024;13/02/2007
M009100;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M009110;40;CONVERTIDORA V;Bond Blanco A.b. 75gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M009110;40;GUILLOTINA DE CONVERSION;Bond Blanco A.b. 75gr 70 X 100;CONV;GL652;20;P;27/02/2024;28/06/2007
M009110;40;MESA DE TERMINADOS CONV;Bond Blanco A.b. 75gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M009410;63261;ARMADORA DE BOLSAS;Bolsa 30x17,5x43 1/6 Earth Caj;BOLS;BLS01;10;P;27/02/2024;12/10/2021
M009410;63261;PREPRENSA FLEXO;Bolsa 30x17,5x43 1/6 Earth Caj;PREP;PP002;20;C;27/02/2024;14/12/2012
M009420;SE7163261;IMPRESORA FLEXO BANDA ANCHA;Bob Earth T 110 Gr 30*17,5 *43;IFLE;IFX01;10;P;27/02/2024;14/12/2023
M009540;SE5163241;HARRIS MR 1000;Bob Term 48 Gr 79 X 60;FORM;FC006;10;P;27/02/2024;18/10/2006
M009640;61624;OLIMPIC I;Rollo 79 X 30 Carga;ROLL;RO400;10;P;27/02/2024;18/10/2006
M010030;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010030;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010030;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010040;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010040;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010040;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010050;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010050;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010050;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010060;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010060;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010060;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010070;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010070;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010070;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010080;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010080;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010080;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010090;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010090;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010090;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010100;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010100;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010100;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010110;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010110;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010110;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010120;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M010120;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010120;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010130;550;CONVERTIDORA V;P/cote C1s Sbs 280 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M010130;550;CALIBRACION PAPEL;P/cote C1s Sbs 280 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M010130;550;MESA DE TERMINADOS CONV;P/cote C1s Sbs 280 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010170;63266;ARMADORA DE BOLSAS;Bol 23,5x33x12 S1 Caj;BOLS;BLS01;10;P;27/02/2024;12/10/2021
M010170;63266;PREPRENSA FLEXO;Bol 23,5x33x12 S1 Caj;PREP;PP002;20;C;27/02/2024;14/12/2012
M010180;SE7163266;IMPRESORA FLEXO BANDA ANCHA;Bob Earmj T 110 Gr 23.5*33*12;IFLE;IFX01;10;P;27/02/2024;14/12/2023
M010200;SE5163207;STEVENS I;Bob Quim 54,5gr 13 X 8 1/2 3p;FORM;FC007;10;4;27/02/2024;18/10/2006
M010240;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M010240;60;GUILLOTINA DE CONVERSION;Bond 90 Gr 70 X 100;CONV;GL652;20;P;27/02/2024;28/06/2007
M010240;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M010250;13985;CONVERTIDORA V;Bond Blanco  90 Gr  60 X 90;CONV;CN605;10;P;27/02/2024;8/05/2019
M010250;13985;CALIBRACION PAPEL;Bond Blanco  90 Gr  60 X 90;CONV;CL001;20;P;27/02/2024;13/02/2007
M010250;13985;MESA DE TERMINADOS CONV;Bond Blanco  90 Gr  60 X 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M010260;12656;CONVERTIDORA V;Esmaltado C2s 115 Gr 60 X 90;CONV;CN605;10;P;27/02/2024;8/05/2019
M010260;12656;CALIBRACION PAPEL;Esmaltado C2s 115 Gr 60 X 90;CONV;CL001;20;P;27/02/2024;13/02/2007
M010260;12656;MESA DE TERMINADOS CONV;Esmaltado C2s 115 Gr 60 X 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M010270;12656;CONVERTIDORA V;Esmaltado C2s 115 Gr 60 X 90;CONV;CN605;10;P;27/02/2024;8/05/2019
M010270;12656;CALIBRACION PAPEL;Esmaltado C2s 115 Gr 60 X 90;CONV;CL001;20;P;27/02/2024;13/02/2007
M010270;12656;MESA DE TERMINADOS CONV;Esmaltado C2s 115 Gr 60 X 90;CONV;MT002;30;P;27/02/2024;19/01/2013
M010280;68194;CONVERTIDORA V;Pgreaseproof Nat C1s 315 Gr;CONV;CN605;10;P;27/02/2024;8/05/2019
M010280;68194;CALIBRACION PAPEL;Pgreaseproof Nat C1s 315 Gr;CONV;CL001;20;P;27/02/2024;13/02/2007
M010280;68194;MESA DE TERMINADOS CONV;Pgreaseproof Nat C1s 315 Gr;CONV;MT002;30;P;27/02/2024;19/01/2013
M010290;SE000214;CONVERTIDORA IV;Envltra Nturl 85gr 125x157 Imp;CONV;CN603;10;4;27/02/2024;17/01/2007
M010390;12893;CONVERTIDORA V;Propalcote C2s 200gr  70 X 74;CONV;CN605;10;P;27/02/2024;8/05/2019
M010390;12893;CALIBRACION PAPEL;Propalcote C2s 200gr  70 X 74;CONV;CL001;20;P;27/02/2024;13/02/2007
M010390;12893;MESA DE TERMINADOS CONV;Propalcote C2s 200gr  70 X 74;CONV;MT002;30;P;27/02/2024;19/01/2013
M010470;SE000014;CONVERTIDORA IV;Offs Bco 75gr 96 X 72,5 Cm S/r;CONV;CN603;10;4;27/02/2024;17/01/2007
M010470;SE000014;CALIBRACION PAPEL;Offs Bco 75gr 96 X 72,5 Cm S/r;CONV;CL001;20;4;27/02/2024;13/02/2007
M012290;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M012290;60;GUILLOTINA DE CONVERSION;Bond 90 Gr 70 X 100;CONV;GL652;20;P;27/02/2024;28/06/2007
M012290;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012570;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M012570;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012570;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012580;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M012580;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012580;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012800;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M012800;60;CALIBRACION PAPEL;Bond 90 Gr 70 X 100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012800;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012810;60;CONVERTIDORA V;Bond 90 Gr 70 X 100;CONV;CN605;10;P;27/02/2024;8/05/2019
M012810;60;CALIBRACION PAPEL;Bond 90 Gr 70 X 100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012810;60;MESA DE TERMINADOS CONV;Bond 90 Gr 70 X 100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012820;546;CONVERTIDORA V;P/cote C1s Sbs 225 Gr 70 X100;CONV;CN605;10;P;27/02/2024;8/05/2019
M012820;546;CALIBRACION PAPEL;P/cote C1s Sbs 225 Gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012820;546;MESA DE TERMINADOS CONV;P/cote C1s Sbs 225 Gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M012870;1000;CONVERTIDORA IV;Papel Periodico 48,8gr 70 X100;CONV;CN603;10;P;27/02/2024;17/01/2007
M012870;1000;CALIBRACION PAPEL;Papel Periodico 48,8gr 70 X100;CONV;CL001;20;P;27/02/2024;13/02/2007
M012870;1000;MESA DE TERMINADOS CONV;Papel Periodico 48,8gr 70 X100;CONV;MT002;30;P;27/02/2024;19/01/2013
M013100;63291;CLICK DIGITAL HOJAS;Tar 8.6x5.4 Tarj  Medio De Pag;TJTA;TA009;10;C;27/02/2024;27/03/2014
M013100;63291;IMPRESORA DIGITAL DE HOJAS;Tar 8.6x5.4 Tarj  Medio De Pag;TJTA;TA002;20;4;27/02/2024;24/07/2012
M013100;63291;COLECTORA DE LAMINAS;Tar 8.6x5.4 Tarj  Medio De Pag;TJTA;TA005;30;4;27/02/2024;24/07/2012
M013100;63291;LAMINADORA PVC;Tar 8.6x5.4 Tarj  Medio De Pag;TJTA;TA006;40;4;27/02/2024;24/07/2012
M013100;63291;TROQUELADORA LAMINAS PVC - CABIDA 3;Tar 8.6x5.4 Tarj  Medio De Pag;TJTA;TA007;50;4;27/02/2024;24/07/2012
M013100;63291;MESA DE TERMINADOS;Tar 8.6x5.4 Tarj  Medio De Pag;EMPQ;MT001;60;4;27/02/2024;7/12/2006
